"Reference","Value","Qty","DNP","CatNo"
"C1,C9","1000p","2","","399-5448-1-ND"
"C2,C10","100u 16V","2","","732-8598-1-ND"
"C3,C11","22u 350V","2","","493-12650-1-ND"
"C4,C5,C12,C13","0.22u 400V","4","","338-3444-ND"
"C6","47uF 450V","1","","399-15673-ND"
"C7,C14","470u 50V","2","","493-12789-1-ND"
"C8,C15","47u 450V","2","","399-15673-ND"
"F1","Fuse","1","","Mouser 504-BK/HBH-I-R"
"H1,H2,H3,H4","MountingHole","4","",""
"J1,J3","RCA","2","","PJRAN1X1U03X-ND"
"J2","Conn_01x05","1","","486-1007-ND"
"J4,J5","JPR_2x3","2","","2057-PH2-06-UA-ND"
"JP1","JPR3","1","","WM4621-ND"
"LS1,LS2","Speaker","2","","36-4109-ND"
"NE1","Lamp_Neon","1","","A1A-ND"
"R1,R15","470K","2","","470KW-1-ND"
"R2,R4,R16,R18","100K","4","","100KW-1-ND"
"R3,R17","100","2","","100W-1-ND"
"R5,R10,R14,R19,R24,R27","1k","6","","RSA-1.0KRCT-ND"
"R6,R20","6.8k 1W","2","","6.8KW-1-ND"
"R7,R9,R21,R23","270K","4","","270KW-1-ND"
"R8,R22","47K","2","","47KW-1-ND"
"R11,R13,R26","100R 20W","3","","B20J100E-ND"
"R12,R25","250","2","","PPC1D250CT-ND"
"R28","100k","1","","100KW-1-ND"
"SW1","SW_SPST_GND","1","","563-1727-ND"
"SW2,SW3","SW_SPDT","2","","563-1727-ND"
"T1","Transformer_Hammond_272HX","1","","HM5012-ND"
"T2,T3","Hammond 1608A","2","","HM4113-ND"
"U1,U5","6SL7","2","","AES P-ST8-193"
"U2","GZ34","1","","AES P-ST8-193"
"U3,U4,U6,U7","6V6","4","","AES P-ST8-193"
